npi,NPPES Deactivation Date
1609517374,03/13/2023
1467153817,03/13/2023
1922704634,03/13/2023
1639754781,03/13/2023
1548276595,03/13/2023
1598340317,03/13/2023
1154966166,03/13/2023
1922601095,03/13/2023
1295879658,03/13/2023
1780312801,03/13/2023
1396472726,03/13/2023
1457088965,03/13/2023
1619604469,03/13/2023
1891422770,03/13/2023
1083340459,03/13/2023
1770219354,03/13/2023
1275269193,03/13/2023
1326773474,03/13/2023
1861127441,03/13/2023
1801520705,03/13/2023
1417681495,03/13/2023
1720712961,03/13/2023
1033843610,03/13/2023
1134852957,03/13/2023
1063145886,03/13/2023
1619600400,03/13/2023
1023741154,03/13/2023
1417680760,03/13/2023
1952034530,03/13/2023
1669105201,03/13/2023
1235862830,03/13/2023
1750014395,03/13/2023
1063144608,03/13/2023
1316679996,03/13/2023
1942932074,03/13/2023
1225760473,03/13/2023
1346972544,03/13/2023
1700517398,03/13/2023
1750950614,03/13/2023
1194759746,03/13/2023
1043922628,03/13/2023
1245988104,03-12-2023
1942824636,03-12-2023
1487090445,03-10-2023
1104522051,03-10-2023
1063176394,03-10-2023
1134612542,03-10-2023
1063849313,03-10-2023
1457949786,03-10-2023
1154943694,03-10-2023
1164121802,03-10-2023
1851805501,03-10-2023
1689988438,03-10-2023
1679792709,03-10-2023
1003296286,03-10-2023
1477280386,03-10-2023
1619992369,03-10-2023
1497809297,03-10-2023
1326142936,03-10-2023
1821401928,03-10-2023
1437170669,03-10-2023
1629703616,03-10-2023
1245286954,03-10-2023
1487381810,03-10-2023
1306002035,03-10-2023
1205355377,03-10-2023
1275001851,03-10-2023
1144878430,03-10-2023
1336139872,03-10-2023
1508189002,03-10-2023
1073548335,03-10-2023
1073244844,03-10-2023
1841921491,03-10-2023
1245931971,03-10-2023
1881237592,03-10-2023
1831342211,03-10-2023
1720788789,03-09-2023
1003353764,03-09-2023
1225610892,03-09-2023
1841941440,03-09-2023
1508235029,03-09-2023
1629075841,03-09-2023
1386793461,03-09-2023
1982802195,03-09-2023
1689858979,03-09-2023
1669658159,03-09-2023
1639353923,03-09-2023
1588862791,03-09-2023
1528220688,03-09-2023
1467075093,03-09-2023
1346500337,03-09-2023
1306044581,03-09-2023
1730450263,03-09-2023
1568868974,03-09-2023
1902846389,03-09-2023
1689621427,03-09-2023
1831381383,03-09-2023
1588602031,03-09-2023
1952441255,03-09-2023
1417119579,03-09-2023
1356924732,03-09-2023
1306995485,03-09-2023
1205883063,03-09-2023
1154369684,03-09-2023
1255677209,03-09-2023
1265015648,03-09-2023
1669429429,03-09-2023
1427240803,03-09-2023
1497340822,03-09-2023
1639407380,03-09-2023
1386900678,03-09-2023
1386235604,03-09-2023
1699715326,03-09-2023
1659315257,03-09-2023
1689873895,03-09-2023
1508805946,03-09-2023
1447596499,03-09-2023
1407895857,03-09-2023
1568511624,03-09-2023
1659319119,03-09-2023
1548216864,03-09-2023
1538443866,03-09-2023
